,title,company,salary,summary
0,Developer Python,Veeam Software,N/A,"Different Veeam departments take care of every phase of the solution life cycle: development and testing, implementation through an extensive partner network,…"
1,Python Developer (Junior),Think Easy s.r.o.,N/A,"Pracovní poměr – full time, part time."
2,Python Developer (f/m/d),Porsche Engineering,N/A,Your core activities consist of identification of requirements from customer needs and expectations.You script new software functionalities in Python.
3,Junior Content Developer,Bohemia Interactive Simulations,N/A,We are looking for a full-time Junior Content Developer to join the development team in our Czech office.They assist in the maintenance and improvement of the…
4,HiL Software Automation Developer - Python (f/m/d),Porsche Engineering,N/A,"Your core activities consist of cooperation with users to gather software specification and automation of business processes such as data processing,…"
5,Data Analyst Junior,Accenture,N/A,"Zkušenost se zpracováním dat a jejich analýzou.Znalost následujících toolů výhodou: Python, Matlab, Mathematica, R, MS SQL/Oracle, SQL, Hadoop."
6,Data Engineer II,MasterCard,N/A,"The challenge will be to create high-performance algorithms, cutting-edge analytical techniques including machine learning and artificial intelligence, and…"
7,DSL developer in Jetbrains MPS (f/m/d),Porsche Engineering,N/A,"You develop and maintain DSLs using the Meta Programing System by JetBrains.You create tools for architecture design and software validation, used in future…"
8,Python developer,ISECO.CZ s.r.o.,N/A,"Zkušenosti s SQL a návrhem databází (používáme hlavně PostgreSQL/SQLite),.Samostatný a odpovědný přístup a rád dotahuješ věci do konce."
9,"Programátoři, SW testeří",Easy IT,50 000 Kč měsíčně,"Poptávám juniorní, mid vývojáře (Kotlin, Python, Java), kteří mají chuť se učit novým věcem pod vedením zkušených programátorů a vývojářů."
10,Data Scientist,MasterCard,N/A,"Centered on data-driven technologies and innovation, these services include payments-focused consulting, loyalty and marketing programs, business Test & Learn…"
11,Python vývojář,Imper CZ,N/A,"(cca 40 lidí, 1-2 psi).Projekt co za to stojí."
12,Technical Artist,Bohemia Interactive Simulations,N/A,"Technical artists act as a bridge between the Artists, and the tools and graphics Programmers working on the products developed by BISim."
13,"Software Engineering, Staff",Medallia,N/A,"You will be responsible for developing, maintaining and managing the systems Medallia uses to deploy our software globally at scale."
14,Python vývojář,Monitora media,N/A,"(cca 40 lidí, 1-2 psi).Projekt co za to stojí."
